win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
0,23,31,30,59761,78681,7,754,0.0,3.0,7.0,1.0,1.0,0.0,213,3539,48401,1441.9000000000003,1441.9000000000003,-10.400000000000091,-5299,305.2000000000003,-26025,-7,-2.594670406732117,-4
0,14,31,27,40249,53893,1,554,0.0,0.0,1.0,0.0,0.0,0.0,117,2664,8603,1220.8000000000002,1220.8000000000002,-163.19999999999982,-13145,-268.5999999999999,-19519,-16,-4.605990783410139,-39
0,27,45,50,48119,76189,2,501,0.0,0.0,2.0,0.0,0.0,0.0,108,1848,12296,1504.8,1504.8,97.19999999999982,-11003,-167.19999999999982,-13355,-18,-2.0666666666666664,-10
0,24,31,49,70034,84372,8,773,1.0,1.0,8.0,3.0,1.0,1.0,205,3595,50528,1409.3,1409.3,-35.79999999999973,-1786,147.0999999999999,-65487,-7,-1.228494623655914,-19
0,8,26,9,34031,32792,2,473,0.0,1.0,2.0,0.0,1.0,0.0,89,1947,27722,1240.3000000000002,1240.3000000000002,148.39999999999964,-7272,-193.29999999999995,-19788,-18,-7.221153846153846,-6
0,16,34,17,57949,87188,2,775,0.0,1.0,3.0,0.0,0.0,0.0,187,3850,39093,1280.4999999999998,1280.4999999999998,-74.80000000000018,-4361,45.399999999999636,-4152,-18,-6.279411764705882,-57
0,23,37,39,41489,74903,0,440,0.0,2.0,0.0,0.0,0.0,0.0,85,2258,20736,1354.3,1354.3,-139.80000000000018,-11243,-226.20000000000027,-6035,-14,-2.4112808460634554,-20
0,19,29,43,49591,72019,1,653,0.0,0.0,1.0,0.0,0.0,0.0,163,3492,12094,1229.5,1229.5,-48.59999999999991,-8615,-73.80000000000018,-9850,-10,-1.4936479128856628,-20
0,8,18,7,24676,19843,0,330,0.0,0.0,0.0,0.0,0.0,0.0,45,1261,1655,1166.4,1166.4,28.40000000000009,-7081,1166.4,-10090,-10,-3.7916666666666665,-14
0,12,24,13,33028,35671,0,413,0.0,0.0,0.0,0.0,0.0,0.0,97,2654,7251,1410.3,1410.3,18.800000000000182,-10245,13.299999999999955,-9808,-12,-2.4967948717948714,-12
0,8,26,12,36172,36887,3,515,0.0,1.0,3.0,0.0,0.0,0.0,105,3371,9011,1098.6,1098.6,-92.19999999999982,-12707,-270.0999999999999,-15463,-18,-8.10576923076923,-49
0,9,27,7,27102,28484,1,336,0.0,0.0,1.0,0.0,0.0,0.0,41,1731,2662,1317.0,1317.0,-39.20000000000027,-14869,1317.0,-15904,-18,-5.7407407407407405,-35
0,3,15,6,22950,28155,0,328,0.0,0.0,0.0,0.0,0.0,0.0,55,2333,3957,1079.2,1079.2,-93.59999999999991,-14341,1079.2,-5451,-12,-8.733333333333334,-37
0,22,26,56,55577,71487,3,681,1.0,3.0,4.0,0.0,0.0,1.0,179,3385,61565,1309.6,1309.6,47.20000000000027,-5006,-33.5,-15230,-4,-0.8636363636363638,-2
0,24,34,48,55301,90666,3,650,0.0,3.0,3.0,0.0,0.0,0.0,185,3053,53202,1281.5,1281.5,-52.0,-8255,-83.40000000000009,-5329,-10,-1.090686274509804,12
0,17,26,32,47539,75742,3,626,0.0,2.0,3.0,0.0,0.0,0.0,154,3325,18189,1362.7,1362.7,-24.0,-5648,73.29999999999995,7840,-9,-2.29185520361991,-8
0,4,22,6,22965,20981,0,328,0.0,1.0,0.0,0.0,0.0,0.0,50,1880,2190,1087.3,1087.3,95.40000000000009,-11863,1087.3,-19487,-18,-12.795454545454545,-9
0,27,36,57,65506,97956,3,723,1.0,3.0,5.0,0.0,1.0,1.0,183,3342,59409,1245.4,1245.4,27.799999999999727,-8954,-86.40000000000009,-22716,-9,-1.4074074074074074,-50
0,15,32,28,40216,41500,5,497,0.0,0.0,5.0,0.0,1.0,0.0,76,2125,13755,1486.4,1486.4,-43.80000000000018,-9623,-25.59999999999991,-23402,-17,-5.189583333333333,-41
0,29,30,50,61764,95514,4,758,1.0,2.0,4.0,0.0,1.0,1.0,172,2942,65158,1379.8999999999999,1379.8999999999999,164.79999999999973,509,-88.79999999999995,-14666,-1,-0.09080459770114935,-20
0,26,32,50,44018,60785,2,502,0.0,2.0,2.0,0.0,0.0,0.0,106,2164,18402,1443.8000000000002,1443.8000000000002,-21.800000000000182,-9851,-120.09999999999991,-22027,-6,-0.7788461538461537,-15
0,7,32,7,38049,36247,2,531,0.0,1.0,2.0,0.0,1.0,0.0,106,2484,9245,1278.7,1278.7,-118.20000000000027,-10925,-187.20000000000005,-29247,-25,-12.5625,-3
0,36,47,74,64371,128620,1,778,0.0,3.0,1.0,0.0,0.0,0.0,250,2954,26417,1398.9,1398.9,47.40000000000009,-11937,-173.10000000000014,-29335,-11,-1.3817966903073287,37
0,10,36,11,30941,36642,0,403,0.0,0.0,0.0,0.0,0.0,0.0,74,1899,894,1238.0,1238.0,-5.799999999999727,-14661,-304.10000000000014,-29150,-26,-8.516666666666666,-24
0,27,32,30,57948,66937,5,681,0.0,2.0,4.0,0.0,1.0,0.0,170,3338,43181,1440.0000000000002,1440.0000000000002,90.80000000000018,-6346,134.70000000000027,-40640,-5,-1.5150462962962963,-1
0,10,34,15,41709,43737,3,520,0.0,1.0,3.0,0.0,0.0,0.0,122,2287,13100,1267.3999999999999,1267.3999999999999,-67.80000000000018,-9523,-283.0000000000002,-23754,-24,-8.16470588235294,-55
0,37,41,66,60799,112479,1,668,0.0,0.0,1.0,0.0,0.0,0.0,209,2447,20543,1377.1,1377.1,-270.7999999999997,-7924,-116.80000000000018,16657,-3,0.11745827984595625,-18
0,20,34,22,37738,48283,1,394,0.0,0.0,1.0,0.0,0.0,0.0,91,2213,13410,1341.1,1341.1,-34.0,-13070,-155.20000000000027,-20834,-14,-3.2408963585434174,-18
0,17,24,29,46376,53678,1,630,0.0,0.0,1.0,0.0,0.0,0.0,159,4385,8510,1175.1999999999998,1175.1999999999998,25.0,-11526,-245.60000000000036,-22916,-7,-2.200980392156862,-9
0,15,31,21,54998,77470,3,752,0.0,1.0,3.0,0.0,0.0,0.0,175,3417,5129,1302.9,1302.9,-123.0,-10603,-48.399999999999864,4311,-16,-4.305376344086022,-24
0,17,25,34,46589,62646,2,585,0.0,0.0,3.0,0.0,1.0,0.0,156,3312,27197,1393.7,1393.7,-141.4000000000001,-3903,59.799999999999955,-13699,-8,-1.9011764705882355,17
