win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
0,12,37,12,36106,43109,0,441,0.0,0.0,0.0,0.0,0.0,0.0,46,1976,1206,1201.5,1201.5,-157.0,-15777,-402.9999999999998,-25127,-24,-4.889812889812889,-24
0,43,43,48,70492,130887,5,621,0.0,2.0,5.0,0.0,1.0,0.0,178,3692,39344,1269.1999999999998,1269.1999999999998,-89.0,-5289,137.5999999999999,-847,1,-0.39534883720930214,20
0,11,23,7,35072,37851,0,414,0.0,2.0,0.0,0.0,0.0,0.0,75,2620,15513,1165.8000000000002,1165.8000000000002,-110.0,-10823,-42.79999999999973,-1631,-12,-2.6719367588932808,-17
0,19,45,37,53222,94328,2,568,0.0,1.0,3.0,0.0,0.0,0.0,165,3125,6199,1194.5,1194.5,-181.80000000000007,-14995,-87.5,-15814,-26,-5.071345029239766,24
0,22,34,32,59421,97637,8,676,0.0,1.0,8.0,2.0,0.0,0.0,150,3416,23574,1171.1000000000001,1171.1000000000001,-181.20000000000005,-8031,-167.0999999999999,9304,-12,-2.3663101604278074,31
0,31,35,26,48434,77046,4,481,0.0,3.0,5.0,0.0,1.0,0.0,132,3668,31930,1461.6999999999998,1461.6999999999998,-158.79999999999995,-6401,201.99999999999977,-5110,-4,-1.016589861751152,18
0,5,24,9,26782,32378,0,362,0.0,0.0,0.0,0.0,0.0,0.0,52,2463,2231,1016.9000000000001,1016.9000000000001,-195.4000000000001,-13311,-535.9000000000001,-11960,-19,-9.816666666666666,-10
0,29,48,38,52756,87960,2,543,0.0,1.0,2.0,0.0,0.0,0.0,71,2282,8360,1241.2,1241.2,-16.200000000000045,-10790,-221.79999999999995,-34625,-19,-2.6386494252873565,-53
0,14,25,17,37045,43645,0,456,0.0,0.0,0.0,0.0,0.0,0.0,65,3835,7207,971.3,971.3,32.799999999999955,-15021,-345.29999999999995,-24046,-11,-3.0457142857142854,-73
0,1,1,0,4254,1714,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,145.60000000000014,-121,0.0,-284,1,1.0,-1
0,3,17,1,23193,28645,0,325,0.0,0.0,0.0,0.0,0.0,0.0,39,2456,1891,1152.5,1152.5,-10.799999999999955,-7264,1152.5,1742,-14,-10.098039215686276,-3
0,19,29,29,38796,55488,0,345,0.0,1.0,0.0,0.0,0.0,0.0,61,2231,6431,950.8,950.8,-76.19999999999982,-7390,-569.5,-11347,-10,-2.344827586206897,-32
0,23,39,31,49922,81549,0,575,0.0,0.0,0.0,0.0,0.0,0.0,127,2942,11840,1120.2,1120.2,-102.0,-15534,-383.6999999999998,-18914,-16,-1.8327759197324416,-11
0,9,25,10,28275,34828,0,296,0.0,0.0,0.0,0.0,0.0,0.0,60,3676,987,1155.9,1155.9,15.399999999999864,-14838,-168.5999999999999,-24571,-16,-5.351111111111111,-20
0,23,38,40,47306,67918,0,537,0.0,1.0,0.0,0.0,0.0,0.0,73,2123,10764,1191.0,1191.0,50.600000000000136,-8672,-164.0,-15271,-15,-2.168192219679634,-17
0,22,51,24,55573,125794,2,650,0.0,1.0,2.0,0.0,1.0,0.0,129,2514,34122,1328.3000000000002,1328.3000000000002,19.59999999999991,-11370,36.50000000000023,-14182,-29,-4.014705882352941,-38
0,11,30,10,31505,33263,0,372,0.0,0.0,0.0,0.0,0.0,0.0,40,2648,8358,1109.5,1109.5,-42.0,-15131,-194.50000000000023,-32162,-19,-5.118181818181818,-28
0,40,36,74,66927,115218,7,646,0.0,2.0,7.0,2.0,1.0,0.0,160,4177,41076,1275.8,1275.8,6.7999999999999545,-1829,3.699999999999818,-11680,4,0.4166666666666665,-8
0,14,29,23,35936,49627,1,372,0.0,1.0,1.0,0.0,0.0,0.0,42,2847,3956,1055.5,1055.5,-186.60000000000014,-12828,-152.5,-14928,-15,-3.938423645320197,-74
0,19,17,10,40302,51593,2,502,0.0,2.0,2.0,0.0,0.0,0.0,86,4204,26175,1211.4,1211.4,19.399999999999864,-5517,15.200000000000273,-5191,2,-0.13622291021671828,-32
0,30,37,48,59534,85467,2,745,0.0,2.0,2.0,0.0,0.0,0.0,130,2710,21015,1145.8,1145.8,68.15000000000009,-7401,-231.5,-6072,-7,-0.6585585585585587,-2
0,17,33,20,41530,56300,2,470,0.0,1.0,2.0,0.0,1.0,0.0,102,2799,4885,1058.5,1058.5,-50.19999999999982,-13283,-282.1999999999998,-19763,-16,-2.9343434343434343,-19
0,10,28,13,28992,27750,0,351,0.0,1.0,0.0,0.0,0.0,0.0,52,2613,9009,1079.2,1079.2,-181.39999999999986,-15788,-483.9999999999998,-24648,-17,-3.9785714285714286,-21
0,23,33,28,52239,89389,5,587,0.0,0.0,5.0,0.0,1.0,0.0,111,3625,31094,1288.9,1288.9,-30.600000000000136,-9291,-24.0,-9847,-9,-2.324110671936759,9
0,34,37,42,64256,105501,5,662,1.0,2.0,8.0,0.0,0.0,1.0,153,4345,54436,1187.8,1187.8,-42.40000000000009,-6687,-181.4000000000001,-37745,-3,-0.24006359300476943,8
0,38,39,61,73325,141575,7,703,1.0,0.0,7.0,0.0,1.0,1.0,218,3697,28815,1153.5,1153.5,-51.0,-2547,110.29999999999995,2318,-1,-0.2773279352226723,4
0,23,37,22,56300,84632,4,653,0.0,1.0,4.0,0.0,0.0,0.0,156,3222,20320,1397.6,1397.6,29.59999999999991,-9551,150.5,-28763,-14,-3.9576968272620445,19
0,34,39,35,46737,70900,3,307,0.0,2.0,3.0,0.0,0.0,0.0,63,3611,21294,1264.0,1264.0,-332.20000000000005,-6618,-110.59999999999991,-16171,-5,-0.5450549450549453,-5
0,28,30,33,60966,90369,5,656,2.0,2.0,5.0,0.0,0.0,1.0,142,3271,57863,1051.5,1051.5,-52.80000000000018,-3434,-292.8000000000002,-7933,-2,-0.21666666666666679,-6
0,16,32,14,39414,56271,2,475,0.0,2.0,2.0,0.0,0.0,0.0,79,2433,16427,1187.0,1187.0,-161.79999999999995,-10486,-223.30000000000018,-20630,-16,-3.375,-31
0,32,30,61,54103,96295,3,540,0.0,0.0,3.0,0.0,0.0,0.0,94,3342,31642,1432.8,1432.8,121.0,-5014,72.39999999999986,-123,3,1.0375,-37
0,18,32,28,48499,76229,2,592,0.0,1.0,2.0,0.0,1.0,0.0,96,3118,27802,1120.5,1120.5,76.59999999999991,-9024,-261.0999999999999,-6139,-14,-2.3402777777777777,-35
0,8,27,13,28717,26867,0,295,0.0,0.0,0.0,0.0,0.0,0.0,51,3082,1210,936.5,936.5,16.700000000000045,-14128,-424.5,-31730,-19,-6.097222222222222,-35
0,20,29,27,48383,68360,4,523,0.0,3.0,4.0,0.0,1.0,0.0,125,4106,51405,1271.3,1271.3,-44.65000000000009,-7382,127.79999999999995,-16375,-9,-2.279310344827586,-1
0,12,32,19,44264,55715,1,568,0.0,0.0,1.0,0.0,0.0,0.0,73,4343,10745,1187.8999999999999,1187.8999999999999,-211.80000000000007,-13032,72.89999999999986,-19731,-20,-6.364583333333333,-49
0,25,28,27,45286,67027,4,430,0.0,1.0,4.0,0.0,1.0,0.0,91,3547,19404,1468.3,1468.3,110.60000000000014,-3719,292.5,-3632,-3,-1.822857142857143,8
0,15,34,11,38586,59150,1,437,0.0,0.0,1.0,0.0,0.0,0.0,85,2719,11030,1110.5,1110.5,-134.4000000000001,-12819,-347.39999999999986,-8963,-19,-3.768627450980392,-7
0,28,41,60,55015,108744,4,506,0.0,4.0,4.0,0.0,0.0,0.0,127,2201,28017,1098.8,1098.8,-103.39999999999986,-12492,-331.0999999999999,12288,-13,-1.8536585365853657,-25
0,9,29,16,26984,28261,0,308,0.0,0.0,0.0,0.0,0.0,0.0,57,2001,1806,987.3,987.3,-246.80000000000007,-16554,987.3,-17318,-20,-5.137931034482759,-12
0,12,24,17,32034,37926,2,322,0.0,0.0,2.0,0.0,0.0,0.0,44,3331,12103,1007.6,1007.6,-170.39999999999986,-10185,-211.89999999999998,-15802,-12,-2.8685897435897436,-45
0,22,44,42,45629,80319,3,420,0.0,1.0,3.0,0.0,1.0,0.0,87,1893,25227,1026.9,1026.9,-224.20000000000005,-10632,-411.5,-29718,-22,-3.727272727272727,-5
0,19,45,37,53222,94328,2,568,0.0,1.0,3.0,0.0,0.0,0.0,165,3125,6199,1194.5,1194.5,-181.80000000000007,-14995,-87.5,-15814,-26,-5.071345029239766,24
0,16,37,18,40402,50312,3,438,0.0,2.0,3.0,0.0,1.0,0.0,85,2787,25531,1445.3,1445.3,-44.0,-13379,114.09999999999991,-20172,-21,-4.5516693163751984,8
0,34,46,59,67499,101498,9,537,0.0,2.0,9.0,3.0,1.0,0.0,173,3062,48103,1276.6999999999998,1276.6999999999998,-20.59999999999991,-5889,130.5999999999999,-18228,-12,-2.301790281329923,24
0,24,46,38,45704,73882,0,464,0.0,0.0,0.0,0.0,0.0,0.0,75,2699,5561,1091.6,1091.6,19.59999999999991,-13289,-351.0,-30730,-22,-2.5271739130434785,-31
0,10,27,9,32212,44821,0,374,0.0,0.0,0.0,0.0,0.0,0.0,55,2760,2801,1179.2,1179.2,-144.4000000000001,-15799,-226.39999999999986,-16038,-17,-5.8962962962962955,-9
0,46,48,74,70449,152913,5,563,1.0,3.0,5.0,0.0,1.0,0.0,164,2676,40632,1412.4,1412.4,-195.19999999999993,-391,134.60000000000014,14111,-2,-0.03191489361702127,51
0,28,43,42,54013,81577,2,570,0.0,0.0,2.0,0.0,0.0,0.0,54,2163,4164,1289.1999999999998,1289.1999999999998,70.0,-5151,-7.0,-3148,-15,-1.8363787375415284,-29
0,35,41,41,58823,99443,8,573,0.0,3.0,8.0,1.0,1.0,0.0,112,3045,41114,1336.3,1336.3,-28.59999999999991,-5070,166.20000000000005,-17329,-6,-1.3749128919860627,6
0,22,42,21,55418,104776,5,606,0.0,3.0,5.0,0.0,0.0,0.0,141,3683,31002,1214.8999999999999,1214.8999999999999,-185.0,-12346,-79.60000000000014,8052,-20,-4.067099567099567,32
0,39,36,50,67928,116625,7,588,0.0,2.0,7.0,1.0,1.0,0.0,85,3440,33282,1280.2,1280.2,20.0,1331,107.89999999999986,7386,3,-0.1944444444444442,-16
0,14,26,13,30488,40192,0,321,0.0,1.0,0.0,0.0,0.0,0.0,59,2316,10936,1138.6,1138.6,-121.0,-10050,-277.8000000000002,-6109,-11,-2.8948717948717944,9
0,4,15,4,26924,22715,0,345,0.0,0.0,0.0,0.0,0.0,0.0,61,2593,5169,1104.0,1104.0,-32.600000000000136,-10841,-149.0999999999999,-12962,-11,-6.966666666666667,-28
0,18,33,28,49082,94802,3,535,0.0,2.0,3.0,0.0,0.0,0.0,131,2986,21503,1073.5,1073.5,-171.80000000000018,-11736,-329.9000000000001,11721,-15,-3.439393939393939,25
0,9,27,16,34234,38191,0,452,0.0,1.0,0.0,0.0,0.0,0.0,72,2559,9571,1153.2,1153.2,-66.59999999999991,-15824,-122.5,-21105,-18,-6.074074074074074,-38
0,14,33,23,45804,94846,1,529,0.0,0.0,2.0,0.0,1.0,0.0,135,3288,5972,1053.8,1053.8,-95.0,-13447,-136.9000000000001,9482,-18,-5.378787878787879,21
0,24,36,30,51552,81556,3,565,0.0,1.0,3.0,0.0,0.0,0.0,55,3018,3797,1244.8000000000002,1244.8000000000002,-81.60000000000014,-10292,-127.5,-15151,-12,-2.4583333333333335,-89
0,39,35,57,73518,147657,8,679,1.0,4.0,8.0,3.0,1.0,1.0,175,5632,57490,1162.5,1162.5,-83.0,-950,107.79999999999995,-707,5,-0.3340659340659342,42
0,16,33,30,44794,79689,0,464,0.0,0.0,0.0,0.0,0.0,0.0,77,3034,1485,1011.7,1011.7,-140.20000000000005,-13137,-291.5999999999999,-7639,-17,-2.981060606060606,-61
0,21,38,15,49454,90526,4,531,0.0,1.0,4.0,0.0,0.0,0.0,102,2388,29229,1339.5,1339.5,98.39999999999986,-8340,-57.30000000000018,7381,-17,-2.62406015037594,22
0,20,39,18,44161,66311,3,463,0.0,0.0,3.0,0.0,1.0,0.0,76,2056,13501,1250.4,1250.4,-252.79999999999995,-9597,-332.9999999999998,-8735,-19,-4.325641025641025,-20
