win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
1,30,23,69,65060,104706,7,642,2.0,2.0,7.0,1.0,0.0,1.0,217,3476,52431,1910.2,1136.7,10.400000000000091,5299,-305.2000000000003,26025,7,2.594670406732117,4
1,30,14,53,53394,73412,9,585,1.0,4.0,9.0,2.0,1.0,1.0,156,2910,72954,2106.4,1489.4,163.19999999999982,13145,268.5999999999999,19519,16,4.605990783410139,39
1,45,27,57,59122,89544,9,554,1.0,4.0,10.0,2.0,1.0,1.0,118,1996,43582,2626.8999999999996,1671.9999999999998,-97.19999999999982,11003,167.19999999999982,13355,18,2.0666666666666664,10
1,31,24,55,71820,149859,6,812,1.0,5.0,7.0,1.0,0.0,0.0,224,4894,69656,1760.6,1262.2,35.79999999999973,1786,-147.0999999999999,65487,7,1.228494623655914,19
1,26,8,37,41303,52580,3,475,0.0,2.0,4.0,0.0,0.0,0.0,95,3262,12095,2268.8999999999996,1433.6000000000001,-148.39999999999964,7272,193.29999999999995,19788,18,7.221153846153846,6
1,34,16,82,62310,91340,4,701,0.0,4.0,5.0,0.0,1.0,0.0,244,4418,48982,1877.2,1235.1000000000001,74.80000000000018,4361,-45.399999999999636,4152,18,6.279411764705882,57
1,37,23,57,52732,80938,8,461,1.0,1.0,8.0,2.0,1.0,1.0,105,2869,35138,2718.8999999999996,1580.5000000000002,139.80000000000018,11243,226.20000000000027,6035,14,2.4112808460634554,20
1,29,19,40,58206,81869,11,586,1.0,4.0,11.0,3.0,1.0,1.0,183,3948,66439,2283.2,1303.3000000000002,48.59999999999991,8615,73.80000000000018,9850,10,1.4936479128856628,20
1,18,8,19,31757,29933,3,386,0.0,2.0,3.0,0.0,1.0,0.0,59,2922,23153,0.0,0.0,-28.40000000000009,7081,-1166.4,10090,10,3.7916666666666665,14
1,24,13,22,43273,45479,9,497,0.0,3.0,9.0,1.0,1.0,0.0,109,2235,39908,2516.8999999999996,1397.0,-18.800000000000182,10245,-13.299999999999955,9808,12,2.4967948717948714,12
1,26,8,45,48879,52350,8,504,1.0,2.0,9.0,2.0,1.0,1.0,154,3423,50141,1936.7,1368.6999999999998,92.19999999999982,12707,270.0999999999999,15463,18,8.10576923076923,49
1,27,9,30,41971,44388,11,471,0.0,2.0,11.0,3.0,1.0,0.0,76,1782,20736,0.0,0.0,39.20000000000027,14869,-1317.0,15904,18,5.7407407407407405,35
1,15,3,13,37291,33606,8,448,0.0,2.0,8.0,1.0,1.0,0.0,92,2215,20700,0.0,0.0,93.59999999999991,14341,-1079.2,5451,12,8.733333333333334,37
1,26,22,59,60583,86717,10,683,0.0,2.0,10.0,1.0,1.0,0.0,181,3569,41690,2328.6,1343.1,-47.20000000000027,5006,33.5,15230,4,0.8636363636363638,2
1,34,24,43,63556,95995,10,609,1.0,2.0,10.0,2.0,1.0,1.0,173,4223,57772,2221.6,1364.9,52.0,8255,83.40000000000009,5329,10,1.090686274509804,-12
