win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
1,36,13,36,51883,68236,8,463,0.0,3.0,8.0,2.0,1.0,0.0,70,3016,46229,2645.3,1604.4999999999998,157.0,15777,402.9999999999998,25127,24,4.889812889812889,24
1,42,43,66,75781,131734,6,574,1.0,4.0,7.0,1.0,0.0,1.0,158,2929,44601,2066.6,1131.6,89.0,5289,-137.5999999999999,847,-1,0.39534883720930214,-20
1,23,11,15,45895,39482,10,422,1.0,2.0,11.0,3.0,1.0,1.0,92,4615,40447,1829.3000000000002,1208.6,110.0,10823,42.79999999999973,1631,12,2.6719367588932808,17
1,45,19,75,68217,110142,9,533,2.0,4.0,9.0,2.0,1.0,1.0,141,3296,86057,1825.6,1282.0,181.80000000000007,14995,87.5,15814,26,5.071345029239766,-24
1,34,22,53,67452,88333,10,672,2.0,4.0,10.0,1.0,1.0,1.0,119,3660,66725,2136.1,1338.2,181.20000000000005,8031,167.0999999999999,-9304,12,2.3663101604278074,-31
1,35,31,47,54835,82156,5,444,1.0,1.0,5.0,0.0,0.0,1.0,114,2633,27050,1840.0,1259.7,158.79999999999995,6401,-201.99999999999977,5110,4,1.016589861751152,-18
1,24,5,28,40093,44338,7,431,0.0,3.0,7.0,1.0,1.0,0.0,62,2350,35686,2163.1,1552.8000000000002,195.4000000000001,13311,535.9000000000001,11960,19,9.816666666666666,10
1,48,29,69,63546,122585,9,583,0.0,3.0,10.0,2.0,1.0,0.0,124,3376,42652,2232.9,1463.0,16.200000000000045,10790,221.79999999999995,34625,19,2.6386494252873565,53
1,25,14,35,52066,67691,10,504,1.0,4.0,10.0,2.0,1.0,1.0,138,3928,53862,2005.7999999999997,1316.6,-32.799999999999955,15021,345.29999999999995,24046,11,3.0457142857142854,73
1,0,1,0,4375,1998,0,34,0.0,0.0,0.0,0.0,0.0,0.0,1,119,0,0.0,0.0,-145.60000000000014,121,0.0,284,-1,-1.0,1
1,17,3,14,30457,26903,3,318,0.0,1.0,3.0,0.0,1.0,0.0,42,1205,18529,0.0,0.0,10.799999999999955,7264,-1152.5,-1742,14,10.098039215686276,3
1,29,20,51,46186,66835,9,389,0.0,2.0,10.0,2.0,1.0,0.0,93,3478,33650,1740.1,1520.3,76.19999999999982,7390,569.5,11347,10,2.344827586206897,32
1,39,23,35,65456,100463,8,654,1.0,5.0,9.0,2.0,1.0,1.0,138,4132,72690,2223.3999999999996,1503.8999999999999,102.0,15534,383.6999999999998,18914,16,1.8327759197324416,11
1,25,9,30,43113,59399,10,466,0.0,2.0,10.0,2.0,1.0,0.0,80,2688,22428,2361.4,1324.5,-15.399999999999864,14838,168.5999999999999,24571,16,5.351111111111111,20
1,38,23,50,55978,83189,9,428,1.0,2.0,10.0,4.0,1.0,1.0,90,4042,40045,2524.9000000000005,1355.0,-50.600000000000136,8672,164.0,15271,15,2.168192219679634,17
1,51,24,67,66943,139976,8,565,1.0,3.0,11.0,3.0,0.0,1.0,167,4884,52075,2040.8,1291.8,-19.59999999999991,11370,-36.50000000000023,14182,29,4.014705882352941,38
1,30,11,34,46636,65425,11,437,0.0,2.0,11.0,3.0,1.0,0.0,68,2846,15466,2486.8,1304.0000000000002,42.0,15131,194.50000000000023,32162,19,5.118181818181818,28
1,36,40,74,68756,126898,6,664,2.0,2.0,7.0,1.0,0.0,1.0,168,2635,44593,1417.5,1272.1000000000001,-6.7999999999999545,1829,-3.699999999999818,11680,-4,-0.4166666666666665,8
1,29,14,44,48764,64555,11,419,1.0,2.0,11.0,3.0,1.0,1.0,116,4131,42384,2428.3,1208.0,186.60000000000014,12828,152.5,14928,15,3.938423645320197,74
1,17,19,18,45819,56784,5,539,0.0,2.0,5.0,0.0,1.0,0.0,118,2324,19441,1863.1999999999998,1196.1999999999998,-19.399999999999864,5517,-15.200000000000273,5191,-2,0.13622291021671828,32
1,37,30,46,66935,91539,11,611,1.0,2.0,11.0,4.0,1.0,1.0,132,4674,52703,2452.3,1377.3,-68.15000000000009,7401,231.5,6072,7,0.6585585585585587,2
1,33,18,40,54813,76063,8,561,0.0,3.0,9.0,1.0,0.0,0.0,121,4978,25745,2153.3,1340.6999999999998,50.19999999999982,13283,282.1999999999998,19763,16,2.9343434343434343,19
1,27,10,21,44780,52398,11,498,0.0,2.0,11.0,2.0,1.0,0.0,73,2238,31143,2309.9,1563.1999999999998,181.39999999999986,15788,483.9999999999998,24648,17,3.9785714285714286,21
1,32,23,57,61530,99236,7,574,1.0,5.0,7.0,1.0,0.0,1.0,102,4371,64642,1641.3,1312.9,30.600000000000136,9291,24.0,9847,9,2.324110671936759,-9
1,37,34,41,70943,143246,8,737,1.0,4.0,10.0,2.0,1.0,0.0,145,2996,51098,2087.7,1369.2,42.40000000000009,6687,181.4000000000001,37745,3,0.24006359300476943,-8
1,39,38,68,75872,139257,8,715,0.0,6.0,8.0,1.0,0.0,0.0,214,3910,69804,1691.8000000000002,1043.2,51.0,2547,-110.29999999999995,-2318,1,0.2773279352226723,-4
1,37,23,82,65851,113395,8,590,1.0,4.0,9.0,2.0,1.0,1.0,137,3082,70718,1969.3,1247.1,-29.59999999999991,9551,-150.5,28763,14,3.9576968272620445,-19
1,39,35,42,53355,87071,7,463,1.0,2.0,7.0,1.0,1.0,1.0,68,2256,32240,1778.6,1374.6,332.20000000000005,6618,110.59999999999991,16171,5,0.5450549450549453,5
1,30,28,33,64400,98302,9,697,0.0,3.0,9.0,1.0,1.0,0.0,148,4952,36494,1967.6999999999998,1344.3000000000002,52.80000000000018,3434,292.8000000000002,7933,2,0.21666666666666679,6
1,32,16,37,49900,76901,6,463,1.0,1.0,6.0,1.0,1.0,1.0,110,2949,36250,2186.7,1410.3000000000002,161.79999999999995,10486,223.30000000000018,20630,16,3.375,31
1,29,32,37,59117,96418,10,502,2.0,4.0,10.0,4.0,1.0,1.0,131,2263,44037,1975.7,1360.4,-121.0,5014,-72.39999999999986,123,-3,-1.0375,37
1,32,18,36,57523,82368,9,619,0.0,3.0,11.0,1.0,0.0,0.0,131,4943,13669,2037.4,1381.6,-76.59999999999991,9024,261.0999999999999,6139,14,2.3402777777777777,35
1,27,8,28,42845,58597,9,432,0.0,3.0,9.0,1.0,1.0,0.0,86,1974,29392,2184.5,1361.0,-16.700000000000045,14128,424.5,31730,19,6.097222222222222,35
1,29,20,49,55765,84735,7,525,1.0,1.0,8.0,1.0,0.0,1.0,126,3713,26584,1614.0,1143.5,44.65000000000009,7382,-127.79999999999995,16375,9,2.279310344827586,1
1,32,12,56,57296,75446,10,591,1.0,4.0,11.0,2.0,1.0,1.0,122,4601,64881,2033.4999999999998,1115.0,211.80000000000007,13032,-72.89999999999986,19731,20,6.364583333333333,49
1,28,25,64,49005,70659,6,381,1.0,2.0,6.0,1.0,0.0,1.0,83,3587,27706,1888.6,1175.8,-110.60000000000014,3719,-292.5,3632,3,1.822857142857143,-8
1,34,15,34,51405,68113,10,439,0.0,3.0,10.0,2.0,1.0,0.0,92,5029,36342,2000.6,1457.8999999999999,134.4000000000001,12819,347.39999999999986,8963,19,3.768627450980392,7
1,41,28,71,67507,96456,11,504,1.0,1.0,11.0,3.0,1.0,1.0,152,3487,53088,1965.4,1429.8999999999999,103.39999999999986,12492,331.0999999999999,-12288,13,1.8536585365853657,25
1,29,10,31,43538,45579,7,445,0.0,3.0,7.0,1.0,1.0,0.0,69,2775,29786,0.0,0.0,246.80000000000007,16554,-987.3,17318,20,5.137931034482759,12
